product_id,product_name,category,price
1,Throughout Base Lite,Books,194.16
2,Super Up Identify Receive Movement,Books,442.57
3,Future Cost Basic,Food,376.89
4,Develop Wall Edition,Books,436.73
5,Artist These Basic,Beauty,129.53
6,Me Fall Plus,Beauty,77.15
7,Sandybrown Special Plus,Clothing,65.0
8,Necessary Necessary Plus,Home & Kitchen,67.79
9,Their This Plus,Sports,53.21
10,Advanced Mediumaquamarine Pay,Clothing,354.67
11,Super List Political,Home & Kitchen,220.51
12,Premium Even Like,Toys,397.75
13,Human Nor Pro,Home & Kitchen,441.05
14,Super Today Allow,Toys,311.34
15,Super Staff Use,Home & Kitchen,142.98
16,Super Concern Alone,Food,256.85
17,Fish Long Model X,Toys,377.93
18,Him Fact Max,Toys,346.24
19,Darkcyan Chair Model X,Clothing,175.51
20,Focus Above Max,Food,193.0
21,Premium Push Action,Home & Kitchen,388.02
22,Explain State Edition,Home & Kitchen,322.96
23,Azure Nation Deluxe,Clothing,108.64
24,Defense Wish Plus,Food,377.91
25,Only Mean Basic,Home & Kitchen,211.12
26,Laugh Mean Plus,Food,68.47
27,Any Career Plus,Food,348.67
28,Couple Consider Deluxe,Toys,186.94
29,Old Do Lite,Sports,149.8
30,Information In Lite,Food,198.38
31,Lead Stock Plus,Toys,351.47
32,Tonight Knowledge Lite,Toys,190.33
33,Premium Evening Feeling,Toys,438.32
34,Sea Product Max,Sports,443.15
35,Operation Play Plus,Toys,149.12
36,Series Another Lite,Beauty,92.48
37,Very Red Lite,Food,201.47
38,Premium Old,Books,234.2
39,Early Address Max,Electronics,389.05
40,Away House Max,Food,118.76
41,Premium Future Occur,Toys,297.36
42,Seem Which Edition,Toys,58.28
43,Advanced North Us Sport,Books,21.17
44,Suggest Positive Deluxe,Electronics,187.68
45,Operation Third Plus,Food,397.45
46,Cadetblue Surface Edition,Clothing,7.35
47,Darksalmon Research Basic,Clothing,414.15
48,Super Early Seat,Sports,379.38
49,Family Dinner Lite,Beauty,253.63
50,Oldlace North Pro,Clothing,31.61
